User,veAEQ Balance at block 22721125,veAEQ % Owned,,Unlock Date (UTC),Lock last updated,,,
0x4ec2dcdfb3c165da62dd1367cb42fe7551524984,212.8290455,0.0271,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Aug 18 2022,,,
0x208ba950ceae456d5b7a5aaf4d1298a8603910a1,212.4341378,0.0271,,"Thu, 17 Aug 2023 00:00:00 GMT",Wed Aug 31 2022,,,
0x61d2b8f4388d4778abc40e05e6b1e3ec525ce1ba,200.2188029,0.0255,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Sep 08 2022,,,
0xafc44e82c1a77859503913835969560cb772051a,196.917283,0.0251,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Oct 20 2022,,,
0xc19b22945fb4cee4ffa784ac0187b4a5c91d2b38,195.8490707,0.0249,,"Thu, 21 Sep 2023 00:00:00 GMT",Fri Oct 07 2022,,,
0xf9d260696a365c93b02c20f50087fa751097f17b,194.5698506,0.0248,,"Thu, 31 Aug 2023 00:00:00 GMT",Mon Sep 05 2022,,,
0xac703cdbe2c7e1f72dfc45471bbbf3704847430e,193.2770925,0.0246,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Sep 08 2022,,,
0x45e4352a2f41b7c1ae768f4aa4075b3299843b42,186.8538724,0.0238,,"Thu, 20 Jul 2023 00:00:00 GMT",Tue Aug 30 2022,,,
0xd51eb64efcefc47c9e50bcafe0cc40b356ad99ae,184.4397406,0.0235,,"Thu, 17 Aug 2023 00:00:00 GMT",Mon Aug 22 2022,,,
0xd89bcf9a80cf367174a83f33aa894e002cc63278,177.8556764,0.0226,,"Thu, 26 Oct 2023 00:00:00 GMT",Fri Oct 28 2022,,,
0x253c26f7ee617e132a87a3860869ab5eeedccb8c,174.4892902,0.0222,,"Thu, 23 Feb 2023 00:00:00 GMT",Tue Oct 25 2022,,,
0xeb1a5a37369b499123962520bc08ddddfe064bc0,173.7905894,0.0221,,"Thu, 12 Oct 2023 00:00:00 GMT",Tue Oct 18 2022,,,
0x4abb06d9e06f21401db9738015a68072380cdbc9,171.8590561,0.0219,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Oct 13 2022,,,
0x6992bd823bb63e189a827566c648ece23adc6de9,170.117746,0.0217,,"Thu, 31 Aug 2023 00:00:00 GMT",Wed Aug 31 2022,,,
0x8809d43470541aeb1a201bc2ed05a390adb2f080,168.8555809,0.0215,,"Thu, 26 Oct 2023 00:00:00 GMT",Mon Oct 31 2022,,,
0xbc77450de7f593f2fabe1cab9c38d36b66056707,166.734533,0.0212,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Oct 13 2022,,,
0xc844e702f33f82bae0a5c70d6942ffd067c4d3cc,165.8529183,0.0211,,"Thu, 24 Aug 2023 00:00:00 GMT",Thu Sep 22 2022,,,
0x98c02c575e6195969232d47c8f65d1caabe1a20d,165.1461334,0.021,,"Thu, 30 Mar 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x7669109d3126928f4ec9c96d7246d6cafa7b8f50,165.0413291,0.021,,"Thu, 31 Aug 2023 00:00:00 GMT",Sat Sep 24 2022,,,
0x46991452a164653accb4ede338550bda08c9d477,160.6748121,0.0205,,"Thu, 31 Aug 2023 00:00:00 GMT",Fri Sep 23 2022,,,
0x77a462b1c8204bad01083fffd35a048ebb72038f,159.9725062,0.0204,,"Thu, 07 Sep 2023 00:00:00 GMT",Sun Sep 25 2022,,,
